COLUMN_ID;COLUMN_NAME;IS_FILTER_DATE;IS_ID;IS_ORDER_BY;IS_PARTITION;NEW_DATA_TYPE;TABLE_NAME;ENDPOINT_NAME;TRANSFORMATION;DATA_SOURCE;TEAM
11;fecha_modificacion;False;False;False;False;timestamp;M_PERSONA;PEBDDATA2;fn_transform_DatetimeMagic(fecultmod,horultimod,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);apdayc;sofia
12;usuario_modificacion;False;False;False;False;string;M_PERSONA;PEBDDATA2;fn_transform_ClearString(ultusumod);apdayc;sofia
-2;processdate;False;False;False;False;timestamp;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_Datetime();apdayc;sofia
-1;lastmodifydate;True;False;False;False;timestamp;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_Datetime(lastmodifydate);apdayc;sofia
0;id_persona_direccion;False;True;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(id);apdayc;sofia
1;id_compania;False;False;False;True;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(compania);apdayc;sofia
2;id_eje_territorial_zona_postal;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_Concatenate(pais,zonapostal);apdayc;sofia
3;id_eje_territorial_provincia;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_Concatenate(pais,municipio);apdayc;sofia
4;cod_compania;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(compania);apdayc;sofia
5;cod_persona;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(persona);apdayc;sofia
6;cod_persona_direccion;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(coddirec);apdayc;sofia
7;cod_provincia;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(municipio);apdayc;sofia
8;cod_pais;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(pais);apdayc;sofia
9;clasificacion;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(dirclasif);apdayc;sofia
10;detalle_clasificacion;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(dirdetclas);apdayc;sofia
11;tipo_via;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(dirtipovia);apdayc;sofia
12;detalle_via;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(dirdetvia);apdayc;sofia
13;nro;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(dirnro);apdayc;sofia
14;manzana;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(dirmzna);apdayc;sofia
15;lote;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(dirlote);apdayc;sofia
16;interior;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(dirinterior);apdayc;sofia
17;zona_postal;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(zonapostal);apdayc;sofia
18;nzona_postal;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(nzonapostal);apdayc;sofia
19;referencia_domicilio;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(refdomicil);apdayc;sofia
20;telefono;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(telefono);apdayc;sofia
21;condicion;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(condicion);apdayc;sofia
22;unidad_tiempo;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(unitiempo);apdayc;sofia
23;estado_direccion;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(estadodir);apdayc;sofia
24;localidad;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(localidad);apdayc;sofia
25;estado;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(estado);apdayc;sofia
26;direccion_proveedor1;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(dirprov1);apdayc;sofia
27;referencia_direccion1;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(refdir1);apdayc;sofia
28;direccion_proveedor2;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(dirprov2);apdayc;sofia
29;barrio;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(barrio);apdayc;sofia
30;coordx;False;False;False;False;double;M_PERSONA_DIRECCION;PEBDDATA2;coordx;apdayc;sofia
31;coordy;False;False;False;False;double;M_PERSONA_DIRECCION;PEBDDATA2;coordy;apdayc;sofia
32;flg_cobranza;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(cobranza);apdayc;sofia
33;flg_domicilio;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(flgdomicil);apdayc;sofia
34;flg_trabajo_curso;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(flgtrabcur);apdayc;sofia
35;flg_entrega;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(flgentrega);apdayc;sofia
36;flg_otros;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(flgotros);apdayc;sofia
37;flg_direccion_fiscal;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(dirfiscal);apdayc;sofia
38;fecha_vencimiento_contrato;False;False;False;False;date;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_DateMagic(vtocontrat,yyyy-MM-dd,1900-01-01);apdayc;sofia
39;fecha_creacion;False;False;False;False;timestamp;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_DatetimeMagic(feccrea,horcrea,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);apdayc;sofia
40;usuario_creacion;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(usucrea);apdayc;sofia
41;fecha_modificacion;False;False;False;False;timestamp;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_DatetimeMagic(fecultmod,horultimod,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);apdayc;sofia
42;usuario_modificacion;False;False;False;False;string;M_PERSONA_DIRECCION;PEBDDATA2;fn_transform_ClearString(ultusumod);apdayc;sofia
-2;processdate;False;False;False;False;timestamp;M_TIPO_TRANSPORTISTA;PEBDDATA2;fn_transform_Datetime();apdayc;sofia
-1;lastmodifydate;True;False;False;False;timestamp;M_TIPO_TRANSPORTISTA;PEBDDATA2;fn_transform_Datetime(lastmodifydate);apdayc;sofia
0;id_tipo_transportista;False;True;False;False;string;M_TIPO_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(id);apdayc;sofia
1;id_compania;False;False;False;True;string;M_TIPO_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(compania);apdayc;sofia
2;cod_compania;False;False;False;False;string;M_TIPO_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(compania);apdayc;sofia
3;cod_tipo_transportista;False;False;False;False;string;M_TIPO_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(tiptranspo);apdayc;sofia
4;descripcion1;False;False;False;False;string;M_TIPO_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(descttran1);apdayc;sofia
5;estado;False;False;False;False;string;M_TIPO_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(ststitran);apdayc;sofia
6;fecha_creacion;False;False;False;False;timestamp;M_TIPO_TRANSPORTISTA;PEBDDATA2;fn_transform_DatetimeMagic(feccreacio,horcreacio,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);apdayc;sofia
7;usuario_creacion;False;False;False;False;string;M_TIPO_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(usuacreac);apdayc;sofia
8;fecha_modificacion;False;False;False;False;timestamp;M_TIPO_TRANSPORTISTA;PEBDDATA2;fn_transform_DatetimeMagic(fecultimod,horultimod,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);apdayc;sofia
9;usuario_modificacion;False;False;False;False;string;M_TIPO_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(usuaulmod);apdayc;sofia
-2;processdate;False;False;False;False;timestamp;M_TIPO_VEHICULO;PEBDDATA2;fn_transform_Datetime();apdayc;sofia
-1;lastmodifydate;True;False;False;False;timestamp;M_TIPO_VEHICULO;PEBDDATA2;fn_transform_Datetime(lastmodifydate);apdayc;sofia
0;id_tipo_vehiculo;False;True;False;False;string;M_TIPO_VEHICULO;PEBDDATA2;fn_transform_ClearString(id);apdayc;sofia
1;id_compania;False;False;False;True;string;M_TIPO_VEHICULO;PEBDDATA2;fn_transform_ClearString(compania);apdayc;sofia
2;cod_compania;False;False;False;False;string;M_TIPO_VEHICULO;PEBDDATA2;fn_transform_ClearString(compania);apdayc;sofia
3;cod_tipo_vehiculo;False;False;False;False;string;M_TIPO_VEHICULO;PEBDDATA2;fn_transform_ClearString(tipvehicu);apdayc;sofia
4;descripcion;False;False;False;False;string;M_TIPO_VEHICULO;PEBDDATA2;fn_transform_ClearString(desctvehi1);apdayc;sofia
5;fecha_creacion;False;False;False;False;timestamp;M_TIPO_VEHICULO;PEBDDATA2;fn_transform_DatetimeMagic(feccreacio,horcreacio,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);apdayc;sofia
6;usuario_creacion;False;False;False;False;string;M_TIPO_VEHICULO;PEBDDATA2;fn_transform_ClearString(usuacreac);apdayc;sofia
7;fecha_modificacion;False;False;False;False;timestamp;M_TIPO_VEHICULO;PEBDDATA2;fn_transform_DatetimeMagic(fecultimod,horultimod,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);apdayc;sofia
8;usuario_modificacion;False;False;False;False;string;M_TIPO_VEHICULO;PEBDDATA2;fn_transform_ClearString(usuaulmod);apdayc;sofia
-2;processdate;False;False;False;False;timestamp;M_TRANSPORTISTA;PEBDDATA2;fn_transform_Datetime();apdayc;sofia
-1;lastmodifydate;True;False;False;False;timestamp;M_TRANSPORTISTA;PEBDDATA2;fn_transform_Datetime(lastmodifydate);apdayc;sofia
0;id_transportista;False;True;False;False;string;M_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(id);apdayc;sofia
1;id_compania;False;False;False;True;string;M_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(compania);apdayc;sofia
2;id_sucursal;False;False;False;False;string;M_TRANSPORTISTA;PEBDDATA2;fn_transform_Concatenate(compania,sucursal);apdayc;sofia
3;cod_compania;False;False;False;False;string;M_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(compania);apdayc;sofia
4;cod_sucursal;False;False;False;False;string;M_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(sucursal);apdayc;sofia
5;cod_transportista;False;False;False;False;string;M_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(transport);apdayc;sofia
6;cod_tipo_transportista;False;False;False;False;string;M_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(tiptranspo);apdayc;sofia
8;fecha_creacion;False;False;False;False;timestamp;M_TRANSPORTISTA;PEBDDATA2;fn_transform_DatetimeMagic(feccreacio,horcreacio,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);apdayc;sofia
9;usuario_creacion;False;False;False;False;string;M_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(usuacreac);apdayc;sofia
10;fecha_modificacion;False;False;False;False;timestamp;M_TRANSPORTISTA;PEBDDATA2;fn_transform_DatetimeMagic(fecultimod,horultimod,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);apdayc;sofia
11;usuario_modificacion;False;False;False;False;string;M_TRANSPORTISTA;PEBDDATA2;fn_transform_ClearString(usuaulmod);apdayc;sofia
-2;processdate;False;False;False;False;timestamp;M_VEHICULO;PEBDDATA2;fn_transform_Datetime();apdayc;sofia
-1;lastmodifydate;True;False;False;False;timestamp;M_VEHICULO;PEBDDATA2;fn_transform_Datetime(lastmodifydate);apdayc;sofia
0;id_vehiculo;False;True;False;False;string;M_VEHICULO;PEBDDATA2;fn_transform_ClearString(id);apdayc;sofia
1;id_compania;False;False;False;True;string;M_VEHICULO;PEBDDATA2;fn_transform_ClearString(compania);apdayc;sofia
2;id_medio_transporte;False;False;False;False;string;M_VEHICULO;PEBDDATA2;fn_transform_Concatenate(compania,vehiculo);apdayc;sofia
3;cod_compania;False;False;False;False;string;M_VEHICULO;PEBDDATA2;fn_transform_ClearString(compania);apdayc;sofia
4;cod_vehiculo;False;False;False;False;string;M_VEHICULO;PEBDDATA2;fn_transform_ClearString(vehiculo);apdayc;sofia
5;cod_tipo_vehiculo;False;False;False;False;string;M_VEHICULO;PEBDDATA2;fn_transform_ClearString(tipvehicu);apdayc;sofia
6;cod_transportista;False;False;False;False;string;M_VEHICULO;PEBDDATA2;fn_transform_ClearString(transport);apdayc;sofia
7;marca;False;False;False;False;string;M_VEHICULO;PEBDDATA2;fn_transform_ClearString(marca);apdayc;sofia
8;capacidad_max_kg;False;False;False;False;double;M_VEHICULO;PEBDDATA2;capmaxkgsv;apdayc;sofia
9;flgcartec;False;False;False;False;string;M_VEHICULO;PEBDDATA2;fn_transform_ClearString(flgcartec);apdayc;sofia
10;estado;False;False;False;False;string;M_VEHICULO;PEBDDATA2;fn_transform_ClearString(stsvehicul);apdayc;sofia
11;fecha_creacion;False;False;False;False;timestamp;M_VEHICULO;PEBDDATA2;fn_transform_DatetimeMagic(feccreacio,horcreacio,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);apdayc;sofia
12;usuario_creacion;False;False;False;False;string;M_VEHICULO;PEBDDATA2;fn_transform_ClearString(usuacreac);apdayc;sofia
13;fecha_modificacion;False;False;False;False;timestamp;M_VEHICULO;PEBDDATA2;fn_transform_DatetimeMagic(fecultimod,horultimod,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);apdayc;sofia
14;usuario_modificacion;False;False;False;False;string;M_VEHICULO;PEBDDATA2;fn_transform_ClearString(usuaulmod);apdayc;sofia
15;id_tipo_vehiculo;False;False;False;False;string;M_VEHICULO;PEBDDATA2;fn_transform_Concatenate(compania,tipvehicu);apdayc;sofia
